,Area,1800,2016,increment
0,Africa,47595227.6,296972060.0,249376832.4
1,Brazil,328352.4,82297200.0,81968847.6
2,Canada,434376.0,47912430.0,47478054.0
3,China,76837620.0,122208100.0,45370480.0
4,Europe (excl. Russia),124584120.0,187422520.0,62838400.0
5,Greenland,0.0,0.0,0.0
6,India,76803560.0,168590000.0,91786440.0
7,Latin America and the Caribbean (excl. Brazil),16162823.0,117881860.0,101719037.0
8,Middle East,7451354.0,34470230.0,27018876.0
9,Oceania,95601.06,51602910.0,51507308.94
10,Rest of Asia (excl. India & China),40554776.0,206478696.0,165923920.0
11,Russia,32502760.0,122122900.0,89620140.0
12,United States,7865080.0,154624700.0,146759620.0
13,World,431215650.1,1592583606.0,1161367955.9
